>>>>>Running tests<<<<<
Running 2 test sets
person03_running_d4_uncomp.avi [det: 0.67][falsep: 0.00][fps: 194.63]
person04_running_d2_uncomp.avi [det: 0.40][falsep: 0.02][fps: 181.95]
person05_running_d1_uncomp.avi [det: 0.51][falsep: 0.04][fps: 186.76]
person06_running_d3_uncomp.avi [det: 0.68][falsep: 0.03][fps: 188.51]
person07_running_d1_uncomp.avi [det: 0.55][falsep: 0.05][fps: 192.76]
person08_running_d2_uncomp.avi [det: 0.66][falsep: 0.03][fps: 188.88]
person09_running_d1_uncomp.avi [det: 0.62][falsep: 0.10][fps: 186.52]
person10_running_d1_uncomp.avi [det: 0.58][falsep: 0.04][fps: 187.25]
person11_running_d3_uncomp.avi [det: 0.33][falsep: 0.05][fps: 189.44]
person12_running_d2_uncomp.avi [det: 0.48][falsep: 0.01][fps: 188.85]
person13_running_d4_uncomp.avi [det: 0.62][falsep: 0.06][fps: 193.98]
person14_running_d1_uncomp.avi [det: 0.49][falsep: 0.05][fps: 189.91]
person15_running_d2_uncomp.avi [det: 0.53][falsep: 0.03][fps: 193.39]
person16_running_d2_uncomp.avi [det: 0.57][falsep: 0.03][fps: 193.22]
person17_running_d1_uncomp.avi [det: 0.10][falsep: 0.12][fps: 191.99]
person18_running_d3_uncomp.avi [det: 0.62][falsep: 0.05][fps: 190.89]
person19_running_d2_uncomp.avi [det: 0.68][falsep: 0.03][fps: 191.16]
person20_running_d4_uncomp.avi [det: 0.70][falsep: 0.06][fps: 195.25]
person21_running_d1_uncomp.avi [det: 0.54][falsep: 0.05][fps: 194.93]
person22_running_d3_uncomp.avi [det: 0.41][falsep: 0.05][fps: 194.63]
person23_running_d4_uncomp.avi [det: 0.70][falsep: 0.04][fps: 191.48]
person24_running_d3_uncomp.avi [det: 0.61][falsep: 0.05][fps: 190.89]
person25_running_d3_uncomp.avi [det: 0.55][falsep: 0.01][fps: 184.24]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.59][falsep: 0.12][fps: 2483.06]
person02_running_d4_uncomp.avi [det: 0.81][falsep: 0.06][fps: 2174.58]
person03_running_d4_uncomp.avi [det: 0.67][falsep: 0.01][fps: 2221.15]
person04_running_d2_uncomp.avi [det: 0.39][falsep: 0.02][fps: 2708.36]
person05_running_d1_uncomp.avi [det: 0.59][falsep: 0.04][fps: 3193.05]
person06_running_d3_uncomp.avi [det: 0.69][falsep: 0.03][fps: 3010.89]
person07_running_d1_uncomp.avi [det: 0.57][falsep: 0.06][fps: 2695.32]
person08_running_d2_uncomp.avi [det: 0.66][falsep: 0.03][fps: 2904.31]
